,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,-9999
1,Alex Acker,2006,2009,2,12,55,8,27,1,9,1,2,1,7,5,3,1,4,4,18,.296,.111,.500,4.6,1.5,0.6,0.4,ackeral01
2,Don Adams,1973,1975,3,195,5472,687,1697,,,336,455,196,1111,328,179,32,,641,1710,.405,,.738,28.1,8.8,5.7,1.7,adamsdo01
3,Rafael Addison,1995,1995,1,79,1776,279,586,24,83,74,99,67,242,109,53,25,76,236,656,.476,.289,.747,22.5,8.3,3.1,1.4,addisra01
4,Arron Afflalo,2008,2009,2,149,2204,230,541,53,155,126,158,66,271,96,59,21,77,227,639,.425,.342,.797,14.8,4.3,1.8,0.6,afflaar01
5,Mark Aguirre,1989,1993,5,318,7717,1597,3457,122,400,799,1079,417,1218,604,164,64,490,783,4115,.462,.305,.741,24.3,12.9,3.8,1.9,aguirma01
6,Gary Alcorn,1960,1960,1,58,670,91,312,,,48,84,,279,22,,,,123,230,.292,,.571,11.6,4.0,4.8,0.4,alcorga01
7,Victor Alexander,2002,2002,1,15,97,18,51,0,2,4,8,7,29,6,0,1,5,6,40,.353,.000,.500,6.5,2.7,1.9,0.4,alexavi01
8,Greg Anderson,1994,1994,1,77,1624,201,370,1,3,88,154,183,571,51,55,68,94,234,491,.543,.333,.571,21.1,6.4,7.4,0.7,andergr01
9,Joel Anthony,2015,2016,2,68,502,42,72,0,0,21,30,40,114,6,14,61,14,70,105,.583,,.700,7.4,1.5,1.7,0.1,anthojo01
10,Curly Armstrong,1949,1951,3,153,,347,1176,,,346,500,,89,358,,,,466,1040,.295,,.692,,6.8,2.3,2.3,armstcu01
11,Jesse Arnelle,1956,1956,1,31,409,52,164,,,43,69,,170,18,,,,60,147,.317,,.623,13.2,4.7,5.5,0.6,arnelje01
12,Carlos Arroyo,2005,2006,2,90,1306,131,354,3,18,108,144,39,128,283,43,4,97,153,373,.370,.167,.750,14.5,4.1,1.4,3.1,arroyca01
13,Dick Atha,1958,1958,1,18,160,17,47,,,10,12,,24,19,,,,24,44,.362,,.833,8.9,2.4,1.3,1.1,athadi01
14,Chucky Atkins,2001,2010,5,305,7441,1061,2599,409,1120,269,369,91,504,954,202,21,434,582,2800,.408,.365,.729,24.4,9.2,1.7,3.1,atkinch01
15,Stacey Augmon,1997,1997,1,20,292,31,77,0,0,28,41,14,49,15,10,10,27,29,90,.403,,.683,14.6,4.5,2.5,0.8,augmost01
16,D.J. Augustin,2015,2015,1,54,1287,189,461,49,150,147,169,13,100,265,33,2,110,61,574,.410,.327,.870,23.8,10.6,1.9,4.9,augusdj01
17,Ken Austin,1984,1984,1,7,28,6,13,0,0,0,0,2,3,1,1,1,3,7,12,.462,,,4.0,1.7,0.4,0.1,austike01
18,Marvin Bagley III,2022,2023,2,60,1480,313,582,27,101,113,162,132,392,55,32,37,64,124,766,.538,.267,.698,24.7,12.8,6.5,0.9,baglema01
19,Steve Bardo,1996,1996,1,9,123,9,23,0,4,4,6,2,22,15,4,1,5,17,22,.391,.000,.667,13.7,2.4,2.4,1.7,bardost01
20,Marvin Barnes,1977,1978,2,65,1258,255,570,,,120,185,97,344,64,45,44,29,182,630,.447,,.649,19.4,9.7,5.3,1.0,barnema01
21,John Barnhill,1966,1966,1,45,926,139,363,,,59,98,,112,113,,,,76,337,.383,,.602,20.6,7.5,2.5,2.5,barnhjo01
22,Leo Barnhorst,1954,1954,1,17,185,12,57,,,5,6,,37,12,,,,30,29,.211,,.833,10.9,1.7,2.2,0.7,barnhle01
23,Dana Barros,2001,2002,2,89,1661,257,604,68,176,89,107,7,151,188,44,4,93,100,671,.425,.386,.832,18.7,7.5,1.7,2.1,barroda01
