,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,-9999
1,Don Ackerman,1954,1954,1,28,220,14,63,,,15,28,,15,23,,,,43,43,.222,,.536,7.9,1.5,0.5,0.8,ackerdo01
2,Quincy Acy,2015,2015,1,68,1287,152,331,18,60,76,97,79,301,68,27,22,60,147,398,.459,.300,.784,18.9,5.9,4.4,1.0,acyqu01
3,Arron Afflalo,2016,2016,1,71,2371,354,799,91,238,110,131,23,266,144,25,10,82,142,909,.443,.382,.840,33.4,12.8,3.7,2.0,afflaar01
4,Henry Akin,1967,1967,1,50,453,83,230,,,26,37,,120,25,,,,82,192,.361,,.703,9.1,3.8,2.4,0.5,akinhe01
5,Cole Aldrich,2014,2015,2,107,1306,177,362,0,0,76,94,138,467,89,45,95,77,162,430,.489,,.809,12.2,4.0,4.4,0.8,aldrico01
6,Kadeem Allen,2019,2020,2,29,533,84,185,22,52,49,65,10,60,97,21,6,34,53,239,.454,.423,.754,18.4,8.2,2.1,3.3,allenka01
7,Lou Amundson,2015,2016,2,70,1062,124,296,0,1,52,109,112,297,77,27,59,72,159,300,.419,.000,.477,15.2,4.3,4.2,1.1,amundlo01
8,Bob Anderegg,1960,1960,1,33,373,55,143,,,23,42,,69,29,,,,32,133,.385,,.548,11.3,4.0,2.1,0.9,anderbo01
9,Eric Anderson,1993,1994,2,27,83,12,35,2,2,16,27,12,31,5,3,2,7,23,42,.343,1.000,.593,3.1,1.6,1.1,0.2,anderer01
10,Shandon Anderson,2002,2005,4,245,5321,635,1476,127,410,336,458,175,726,285,189,52,330,495,1733,.430,.310,.734,21.7,7.1,3.0,1.2,andersh01
11,Willie Anderson,1996,1996,1,27,496,56,133,5,25,19,31,13,60,48,17,8,24,59,136,.421,.200,.613,18.4,5.0,2.2,1.8,anderwi01
12,Don Anielak,1955,1955,1,1,10,0,4,,,3,4,,2,0,,,,0,3,.000,,.750,10.0,3.0,2.0,0.0,anieldo01
13,Thanasis Antetokounmpo,2016,2016,1,2,6,3,4,0,1,0,0,0,1,0,0,0,0,2,6,.750,.000,,3.0,3.0,0.5,0.0,antetth01
14,Carmelo Anthony,2011,2017,7,412,14813,3627,8195,762,2067,2170,2613,640,2865,1328,396,211,999,1140,10186,.443,.369,.830,36.0,24.7,7.0,3.2,anthoca01
15,Greg Anthony,1992,1995,4,293,6146,688,1718,116,400,414,561,125,559,1237,336,41,386,573,1906,.400,.290,.738,21.0,6.5,1.9,4.2,anthogr01
16,Ryan Arcidiacono,2022,2023,2,21,102,7,17,5,12,0,0,0,12,6,3,0,4,8,19,.412,.417,,4.9,0.9,0.6,0.3,arcidry01
17,Trevor Ariza,2005,2006,2,116,2091,233,535,4,16,163,251,138,379,131,113,27,119,228,633,.436,.250,.649,18.0,5.5,3.3,1.1,arizatr01
18,Dick Atha,1956,1956,1,25,288,36,88,,,21,27,,42,32,,,,39,93,.409,,.778,11.5,3.7,1.7,1.3,athadi01
19,Jim Baechtold,1954,1957,4,257,6363,875,2255,,,712,895,,790,531,,,,592,2462,.388,,.796,24.8,9.6,3.1,2.1,baechji01
20,James Bailey,1985,1986,2,122,2542,358,792,0,5,202,275,224,678,89,63,90,199,493,918,.452,.000,.735,20.8,7.5,5.6,0.7,baileja01
21,Ron Baker,2017,2019,3,92,1349,106,292,35,128,53,75,18,135,167,65,14,77,123,300,.363,.273,.707,14.7,3.3,1.5,1.8,bakerro01
22,Vin Baker,2004,2005,2,41,504,53,137,1,3,39,60,53,107,21,9,13,40,93,146,.387,.333,.650,12.3,3.6,2.6,0.5,bakervi01
23,Renaldo Balkman,2007,2012,4,150,2149,247,497,9,50,100,196,187,539,89,106,77,93,296,603,.497,.180,.510,14.3,4.0,3.6,0.6,balkmre01
24,Ken Bannister,1985,1986,2,145,2809,444,924,0,1,222,441,197,652,81,80,64,270,487,1110,.481,.000,.503,19.4,7.7,4.5,0.6,bannike01
25,Andrea Bargnani,2014,2015,2,71,2042,386,863,45,149,171,209,101,349,91,16,79,100,153,988,.447,.302,.818,28.8,13.9,4.9,1.3,bargnan01
