,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,-9999
1,Precious Achiuwa,2022,2023,2,128,2865,461,1007,85,264,165,255,246,801,132,68,71,143,253,1172,.458,.322,.647,22.4,9.2,6.3,1.0,achiupr01
2,Quincy Acy,2013,2014,2,36,403,48,89,3,7,36,46,35,92,15,17,18,19,61,135,.539,.429,.783,11.2,3.8,2.6,0.4,acyqu01
3,Hassan Adams,2009,2009,1,12,52,4,13,0,0,3,6,1,7,1,1,1,4,4,11,.308,,.500,4.3,0.9,0.6,0.1,adamsha01
4,Alexis Ajinça,2011,2011,1,24,265,47,101,9,27,11,15,12,61,8,8,14,17,60,114,.465,.333,.733,11.0,4.8,2.5,0.3,ajincal01
5,Solomon Alabi,2011,2012,2,26,181,16,51,0,0,7,10,22,61,5,4,11,8,16,39,.314,,.700,7.0,1.5,2.3,0.2,alabiso01
6,Rafer Alston,2003,2005,2,127,3697,542,1309,190,519,228,312,63,386,706,156,22,256,332,1502,.414,.366,.731,29.1,11.8,3.0,5.6,alstora01
7,David Andersen,2011,2011,1,11,150,23,47,3,10,7,7,8,34,7,3,3,8,11,56,.489,.300,1.000,13.6,5.1,3.1,0.6,anderda03
8,Alan Anderson,2012,2013,2,82,1956,291,758,119,346,155,181,42,182,129,53,10,105,166,856,.384,.344,.856,23.9,10.4,2.2,1.6,anderal01
9,Willie Anderson,1996,1996,1,49,1564,232,527,29,95,113,132,35,186,149,58,51,119,171,606,.440,.305,.856,31.9,12.4,3.8,3.0,anderwi01
10,OG Anunoby,2018,2023,6,368,10446,1611,3417,590,1572,456,613,405,1578,560,459,188,466,882,4268,.471,.375,.744,28.4,11.6,4.3,1.5,anunoog01
